"","Tm","Payroll","year","order"
"945","PHI",12482997,1987,15
"946","KCR",12513056,1987,16
"947","OAK",12730839,1987,17
"948","HOU",12758371,1987,18
"949","BOS",13770171,1987,19
"950","NYM",13846714,1987,20
"951","CAL",13855999,1987,21
"952","BAL",14250273,1987,22
"953","LAD",14474737,1987,23
"954","CHC",15473026,1987,24
"955","ATL",17444560,1987,25
"956","NYY",19457714,1987,26
"957","SEA",5958309,1986,1
"958","TEX",6743119,1986,2
"959","CLE",7809500,1986,3
"960","SFG",8947000,1986,4
"961","MIN",9498167,1986,5
"962","OAK",9779421,1986,6
"963","HOU",9873276,1986,7
"964","STL",9875010,1986,8
"965","MIL",9943642,1986,9
"966","CHW",10418819,1986,10
"967","PIT",10938500,1986,11
"968","MON",11103600,1986,12
"969","SDP",11380693,1986,13
"970","PHI",11590166,1986,14
"971","CIN",11906388,1986,15
"972","DET",12335714,1986,16
"973","TOR",12801047,1986,17
"974","BAL",13001258,1986,18
"975","KCR",13043698,1986,19
"976","BOS",14402239,1986,20
"977","CAL",14427258,1986,21
"978","LAD",15213776,1986,22
"979","NYM",15393714,1986,23
"980","ATL",17102786,1986,24
"981","CHC",17208165,1986,25
"982","NYY",18494253,1986,26
"983","SEA",4613000,1985,1
"984","MIN",5764821,1985,2
"985","CLE",6551666,1985,3
"986","TEX",7676500,1985,4
"987","SFG",8221714,1985,5
"988","CIN",8359917,1985,6
"989","OAK",9058606,1985,7
"990","PIT",9267500,1985,8
"991","TOR",9329217,1985,9
"992","MON",9470166,1985,10
"993","CHW",9846178,1985,11
"994","HOU",9993051,1985,12
"995","DET",10348143,1985,13
"996","KCR",10565346,1985,14
"997","PHI",10644966,1985,15
"998","NYM",10834762,1985,16
"999","BOS",10897560,1985,17
"1000","LAD",10967917,1985,18
"1001","SDP",11191583,1985,19
"1002","MIL",11284107,1985,20
"1003","STL",11817083,1985,21
"1004","BAL",12085712,1985,22
"1005","CHC",12702917,1985,23
"1006","NYY",14238204,1985,24
"1007","CAL",14427894,1985,25
"1008","ATL",14807000,1985,26
